iter	Passed	Remaining
399	41369	144792
400	41464	144661
401	41566	144550
402	41657	144404
403	41780	144371
404	41875	144239
405	42010	144242
406	42108	144121
407	42203	143988
408	42298	143856
409	42401	143750
410	42497	143622
411	42601	143519
412	42692	143375
413	42794	143268
414	42899	143171
415	43026	143147
416	43140	143077
417	43249	142993
418	43349	142876
419	43451	142767
420	43543	142629
421	43647	142527
422	43747	142410
423	43873	142380
424	43976	142277
425	44076	142163
426	44176	142046
427	44282	141953
428	44384	141844
429	44484	141728
430	44583	141611
431	44690	141520
432	44786	141393
433	44895	141306
434	44989	141172
435	45106	141113
436	45208	141004
437	45310	140896
438	45404	140763
439	45522	140704
440	45625	140600
441	45740	140533
442	45852	140456
443	45955	140351
444	46060	140250
445	46179	140194
446	46275	140068
447	46368	139933
448	46464	139808
449	46565	139697
450	46661	139570
451	46757	139445
452	46883	139409
453	46993	139323
454	47093	139209
455	47198	139110
456	47295	138989
457	47393	138869
458	47496	138763
459	47611	138693
460	47713	138586
461	47826	138509
462	47921	138383
463	48034	138305
464	48125	138165
465	48229	138064
466	48323	137933
467	48434	137852
468	48535	137742
469	48649	137668
470	48747	137547
471	48849	137440
472	48950	137330
473	49051	137220
474	49152	137108
475	49266	137035
476	49347	136869
477	49450	136763
478	49547	136644
479	49642	136517
480	49740	136399
481	49832	136264
482	49930	136144
483	50031	136035
484	50133	135927
485	50251	135865
486	50354	135761
487	50470	135690
488	50585	135618
489	50688	135514
490	50786	135397
491	50892	135300
492	50994	135192
493	51112	135126
494	51207	135000
495	51299	134867
496	51395	134744
497	51517	134691
498	51626	134600
499	51749	134549
500	51848	134433
501	51943	134308
502	52049	134212
503	52151	134102
504	52243	133969
505	52347	133869
506	52441	133740
507	52544	133637
508	52636	133504
509	52757	133445
510	52856	133331
511	52957	133221
512	53061	133118
513	53175	133041
514	53291	132968
515	53388	132849
516	53486	132732
517	53597	132649
518	53695	132530
519	53794	132417
520	53888	132291
521	54004	132218
522	54105	132107
523	54230	132056
524	54336	131959
525	54441	131859
526	54538	131740
527	54643	131640
528	54740	131522
529	54834	131395
530	54953	131329
531	55052	131214
532	55153	131106
533	55266	131023
534	55360	130899
535	55470	130810
536	55582	130726
537	55687	130627
538	55790	130523
539	55906	130448
540	56005	130334
541	56112	130239
542	56209	130120
543	56312	130016
544	56413	129907
545	56540	129856
546	56641	129747
547	56754	129665
548	56858	129563
549	56983	129507
550	57084	129398
551	57205	129333
552	57309	129230
553	57420	129145
554	57525	129043
555	57623	128928
556	57723	128815
557	57827	128711
558	57925	128596
559	58033	128503
560	58144	128415
561	58255	128328
562	58353	128212
563	58467	128130
564	58575	128036
565	58675	127924
566	58769	127800
567	58881	127714
568	58983	127606
569	59080	127490
570	59177	127372
571	59284	127275
572	59394	127184
573	59503	127093
574	59605	126984
575	59707	126878
576	59800	126752
577	59913	126668
578	60040	126614
579	60229	126689
580	60329	126577
581	60453	126516
582	60570	126438
583	60692	126373
584	60790	126257
585	60910	126186
586	61019	126092
587	61137	126018
588	61250	125931
589	61367	125855
590	61472	125752
591	61583	125664
592	61680	125546
593	61800	125474
594	61896	125353
595	62002	125252
596	62102	125140
597	62203	125030
598	62301	124914
599	62407	124815
600	62499	124686
601	62606	124588
602	62703	124471
