iter	Quantile:alpha=0.9
0	0.1319532906
1	0.1284706117
2	0.1241636924
3	0.1209374759
4	0.1172269288
5	0.1145112411
6	0.1110330526
7	0.108108398
8	0.1057929695
9	0.1031809119
10	0.1003391579
11	0.09821579014
12	0.09571946486
13	0.09322403993
14	0.09076109658
15	0.08900907833
16	0.08679020524
17	0.0842031663
18	0.08256505941
19	0.08090881038
20	0.07903591001
21	0.0770686614
22	0.07526077286
23	0.07353732948
24	0.0720591845
25	0.07093239448
26	0.06931519626
27	0.06773814458
28	0.06646256285
29	0.06484170876
30	0.06350661557
31	0.06202614866
32	0.06068493435
33	0.05938978151
34	0.05821951016
35	0.05702209872
36	0.05585779656
37	0.05474666966
38	0.05382724658
39	0.05261930879
40	0.05181034469
41	0.05087096389
42	0.04990096501
43	0.04892100532
44	0.047897781
45	0.04707194643
46	0.04618647131
47	0.04543679013
48	0.04445307416
49	0.04378792907
50	0.04305505462
51	0.04232871628
52	0.04162786979
53	0.04096090155
54	0.04030365897
55	0.03961855021
56	0.03892700198
57	0.03821861668
58	0.03744909462
59	0.03688261627
60	0.03634424647
61	0.03579395859
62	0.03521311284
63	0.03476805152
64	0.03417948855
65	0.03347904066
66	0.03294769926
67	0.03236142997
68	0.03174064476
69	0.03125366919
70	0.030811541
71	0.03045240813
72	0.02998918879
73	0.02954599068
74	0.02901623624
75	0.02857507986
76	0.0281826165
77	0.0278228006
78	0.02736130904
79	0.02696936445
80	0.02656295408
81	0.02608975285
82	0.02572182793
83	0.02530840404
84	0.02496896453
85	0.02461510461
86	0.0242742456
87	0.02392275073
88	0.02352918576
89	0.02318484903
90	0.02281819959
91	0.02251860132
92	0.02224007556
93	0.0219134148
94	0.02161540382
95	0.02132776643
96	0.02113135612
97	0.02089463455
98	0.02063503943
99	0.02041276237
100	0.02012492266
101	0.01988831844
102	0.01961569399
103	0.01935936239
104	0.01914038776
105	0.01890414895
106	0.0186628943
107	0.01843164878
108	0.0182098102
109	0.01801038641
110	0.01784736299
111	0.01765262579
112	0.01749138458
113	0.01729685913
114	0.01713832787
115	0.01693997981
116	0.01674676682
117	0.01659625785
118	0.01644878067
119	0.01627972781
120	0.01614537132
121	0.01600877257
122	0.01585369652
123	0.01572801691
124	0.01557767588
125	0.01544083297
126	0.01531297621
127	0.01519341173
128	0.01506778999
129	0.01497657522
130	0.0148704803
131	0.01475974858
132	0.01466107189
133	0.01456710578
134	0.01445086701
135	0.01434248833
136	0.01424336754
137	0.01415811854
138	0.01405436023
139	0.01398380816
140	0.01389352189
141	0.01381044278
142	0.0137289142
143	0.01365544622
144	0.01356864394
145	0.01349992198
146	0.01342999728
147	0.01336768468
148	0.01330894504
149	0.01324347201
150	0.01317999657
151	0.01311286357
152	0.0130468684
153	0.01298679403
154	0.01292622632
155	0.01287531074
156	0.0128238899
157	0.012780337
158	0.01272938484
159	0.01268094516
160	0.0126424893
161	0.0125989919
162	0.01254839795
163	0.01250091108
164	0.01246669089
165	0.01242252843
166	0.01238430567
167	0.01234899171
168	0.01230627378
169	0.01226899636
170	0.01224600239
171	0.01221019063
172	0.01217927438
173	0.01215147427
174	0.0121075443
175	0.01207215876
176	0.01203755492
177	0.01200188291
178	0.0119738978
179	0.01194091872
180	0.01190909717
181	0.01187288655
182	0.01184416337
183	0.01181796537
184	0.0117917384
185	0.01176088218
186	0.01173718027
187	0.01170882711
188	0.01168503778
189	0.01166307145
190	0.01163641014
191	0.01161018668
192	0.01158555843
193	0.0115597035
194	0.01153610144
195	0.01151723093
196	0.01149571221
197	0.01147203631
198	0.01145571079
199	0.01143063077
200	0.01140976202
201	0.0113872669
202	0.01137143655
203	0.01135451759
204	0.0113363807
205	0.01132845137
206	0.01131028281
207	0.01129098726
208	0.01127614911
209	0.01126040209
210	0.01124575918
211	0.01122826816
212	0.011212086
213	0.01119440073
214	0.01118038396
215	0.01116768833
216	0.01115411594
217	0.01114253599
218	0.01112787378
219	0.01111546663
220	0.01109812686
221	0.01108431079
222	0.01106893433
223	0.01104917619
224	0.01103468638
225	0.01102018749
226	0.01100790159
227	0.01099379118
228	0.01098235849
229	0.01097117034
230	0.01096186241
231	0.01095262095
232	0.01094248081
233	0.01093070996
234	0.0109207745
235	0.01090908431
236	0.01089724358
237	0.0108879454
238	0.01087521757
239	0.01086446227
240	0.01085554809
241	0.01084590377
242	0.0108346145
243	0.01082423513
244	0.01081576889
245	0.01080588991
246	0.01079837314
247	0.01078993561
248	0.01077985647
249	0.01077125238
250	0.01076149345
251	0.01075298379
252	0.01074315513
253	0.01073427715
254	0.01072568766
255	0.01071775883
256	0.01071318376
257	0.01070431435
258	0.01069742799
259	0.01069022098
260	0.01068236826
261	0.01067313995
262	0.01066320475
263	0.01065796504
264	0.01065678304
265	0.01064955892
266	0.01064406982
267	0.01063482733
268	0.01062835396
269	0.01061665747
270	0.01060808441
271	0.01060109585
272	0.01059480791
273	0.01058380479
274	0.01057647072
275	0.01057138033
276	0.01056299278
277	0.01055344015
278	0.01054719676
279	0.0105413443
280	0.01053053329
281	0.01052440269
282	0.01051731021
283	0.01051374584
284	0.01050688752
285	0.01050188698
286	0.0104972311
287	0.0104919286
288	0.01048484772
289	0.01047942628
290	0.01046877771
291	0.01046204588
292	0.01045488372
293	0.01044707844
294	0.01043777189
295	0.01043190678
296	0.0104249847
297	0.01041806946
298	0.01041297804
299	0.01040696265
300	0.0104026286
301	0.01039764582
302	0.01039393665
303	0.01038830308
304	0.01037971502
305	0.01037462393
