Fecha Transaccion,Lote Completo,Tipo de Granjero,Formula  ,Nombre Formula                   ,Neto Relativo,Costo      ,Base de precios unitarios,Transaccion,Nombre Tipo Alimento
2/14/2026        ,STO2005-2601 ,Granja Propia   ,T114R1I0K,ENGOR 4 PEL PLUS CD GRANEL       ,21620.00     ,11547.84   ,0.53412781               ,Despacho   ,Engorde 4           
2/14/2026        ,STO5064-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,15460.00     ,8904.96    ,0.57600000               ,Despacho   ,Engorde 1           
2/14/2026        ,STO5028-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,15060.00     ,10376.34   ,0.68900000               ,Despacho   ,Engorde 4           
2/14/2026        ,BUC3052-2601A,PCA             ,T111R1IW0,ENGORDE 1 PEL REL ESP CDGRANEL   ,15510.00     ,10469.25   ,0.67500000               ,Despacho   ,Engorde 1           
2/14/2026        ,STO5028-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,15080.00     ,10390.12   ,0.68900000               ,Despacho   ,Engorde 4           
2/14/2026        ,STO5028-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,14690.00     ,10121.41   ,0.68900000               ,Despacho   ,Engorde 4           
2/14/2026        ,BUC1008-2601 ,Granja Propia   ,T113R1I0 ,Engorde 3          Pel Re CD     ,24270.00     ,12139.86   ,0.50020023               ,Despacho   ,Engorde 3           
2/14/2026        ,BUC1008-2601 ,Granja Propia   ,T113R1I0 ,Engorde 3          Pel Re CD     ,23920.00     ,11964.79   ,0.50020023               ,Despacho   ,Engorde 3           
2/14/2026        ,STO5057-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,15110.00     ,9005.56    ,0.59600000               ,Despacho   ,Engorde 1           
2/14/2026        ,BUC1008-2601A,Granja Propia   ,T113R1IW0,ENGORDE 3 PEL RE ESP BD GRANEL   ,17440.00     ,9468.18    ,0.54290027               ,Despacho   ,Engorde 3           
2/15/2026        ,BUC3036-2601 ,PCA             ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,20620.00     ,14207.18   ,0.68900000               ,Despacho   ,Engorde 1           
2/15/2026        ,STO5063-2601 ,PCA             ,T110N1B0 ,Engorde 0      Gra Re CQ         ,11550.00     ,6883.80    ,0.59600000               ,Despacho   ,Engorde 0           
2/15/2026        ,STO5006-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,13780.00     ,7937.28    ,0.57600000               ,Despacho   ,Engorde 1           
2/15/2026        ,STO5006-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,13750.00     ,7920.00    ,0.57600000               ,Despacho   ,Engorde 1           
2/15/2026        ,STO5027-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,6072.00      ,3618.91    ,0.59600000               ,Despacho   ,Engorde 4           
2/15/2026        ,STO5027-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,9108.00      ,5428.37    ,0.59600000               ,Despacho   ,Engorde 4           
2/15/2026        ,STO5069-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,4500.00      ,0.00       ,0.00000000               ,Debito     ,Engorde 4           
2/15/2026        ,BUC1006-2601 ,Granja Propia   ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,17470.00     ,9079.59    ,0.51972458               ,Despacho   ,Engorde 1           
2/15/2026        ,BUC1006-2601 ,Granja Propia   ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,23110.00     ,12010.84   ,0.51972458               ,Despacho   ,Engorde 1           
2/15/2026        ,STO5044-2601 ,PCA             ,T112R1N0 ,Engorde 2 peletizado             ,17230.00     ,10269.08   ,0.59600000               ,Despacho   ,Engorde 2           
2/15/2026        ,STO5044-2601 ,PCA             ,T112R1N0 ,Engorde 2 peletizado             ,18390.00     ,10960.44   ,0.59600000               ,Despacho   ,Engorde 2           
2/15/2026        ,BUC1002-2601 ,Granja Propia   ,T113R1I0 ,Engorde 3          Pel Re CD     ,24730.00     ,12270.71   ,0.49618734               ,Despacho   ,Engorde 3           
2/15/2026        ,BUC1002-2601A,Granja Propia   ,T112R1IW0,ENGORDE 2 PEL RE ESP BD GRANEL   ,25230.00     ,13780.63   ,0.54619998               ,Despacho   ,Engorde 2           
2/15/2026        ,STO5066-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,16080.00     ,9262.08    ,0.57600000               ,Despacho   ,Engorde 1           
2/15/2026        ,BUC1007-2601A,Granja Propia   ,T114OAA0 ,Engorde 4 Peletizado Ensayo      ,24310.00     ,12616.90   ,0.51900021               ,Despacho   ,Engorde 4           
2/15/2026        ,BUC1007-2601 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,23120.00     ,11088.35   ,0.47959999               ,Despacho   ,Engorde 4           
2/15/2026        ,BUC3009-2601A,PCA             ,T111R1IW0,ENGORDE 1 PEL REL ESP CDGRANEL   ,17020.00     ,11335.32   ,0.66600000               ,Despacho   ,Engorde 1           
2/15/2026        ,BUC3009-2601 ,PCA             ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,18220.00     ,12298.50   ,0.67500000               ,Despacho   ,Engorde 1           
2/15/2026        ,BUC3009-2601 ,PCA             ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,21750.00     ,14681.25   ,0.67500000               ,Despacho   ,Engorde 1           
2/15/2026        ,BUC3020-2601 ,PCA             ,T112R1I0 ,Engorde 2     Mig Re CD          ,21910.00     ,13058.36   ,0.59600000               ,Despacho   ,Engorde 2           
2/15/2026        ,STO2003-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,21550.00     ,10954.54   ,0.50833127               ,Despacho   ,Engorde 2           
2/15/2026        ,STO2003-2601 ,Granja Propia   ,T112R1N0 ,Engorde 2 peletizado             ,15340.00     ,7682.27    ,0.50080004               ,Despacho   ,Engorde 2           
2/15/2026        ,STO2003-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,21790.00     ,11076.54   ,0.50833127               ,Despacho   ,Engorde 2           
2/15/2026        ,BUC3031-2601 ,PCA             ,T112R1I0 ,Engorde 2     Mig Re CD          ,18390.00     ,10960.44   ,0.59600000               ,Despacho   ,Engorde 2           
2/15/2026        ,BUC3040-2601A,PCA             ,T114R1IW0,ENGORDE 4 PEL RE ESP BD GRANEL   ,17410.00     ,10376.36   ,0.59600000               ,Despacho   ,Engorde 4           
2/15/2026        ,BUC3014-2601A,PCA             ,T111R1IW0,ENGORDE 1 PEL REL ESP CDGRANEL   ,24560.00     ,16921.84   ,0.68900000               ,Despacho   ,Engorde 1           
2/15/2026        ,BUC3014-2601 ,PCA             ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,20730.00     ,14282.97   ,0.68900000               ,Despacho   ,Engorde 1           
2/15/2026        ,BUC1001-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,-4165.00     ,0.00       ,0.00000000               ,Credito    ,Engorde 2           
2/15/2026        ,BUC1001-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,22870.00     ,11611.04   ,0.50769728               ,Despacho   ,Engorde 2           
2/15/2026        ,BUC1001-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,21080.00     ,10702.26   ,0.50769728               ,Despacho   ,Engorde 2           
2/15/2026        ,BUC1001-2601A,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,4165.00      ,0.00       ,0.00000000               ,Debito     ,Engorde 2           
2/15/2026        ,BUC3025-2601 ,PCA             ,T112R1I0 ,Engorde 2     Mig Re CD          ,18450.00     ,10996.20   ,0.59600000               ,Despacho   ,Engorde 2           
2/15/2026        ,BUC3025-2601A,PCA             ,T112R1IW0,ENGORDE 2 PEL RE ESP BD GRANEL   ,16440.00     ,9798.24    ,0.59600000               ,Despacho   ,Engorde 2           
2/15/2026        ,STO2005-2601 ,Granja Propia   ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,15180.00     ,7823.96    ,0.51541241               ,Despacho   ,Engorde 4           
2/15/2026        ,STO2005-2601 ,Granja Propia   ,T114R1I0K,ENGOR 4 PEL PLUS CD GRANEL       ,21790.00     ,11638.65   ,0.53412781               ,Despacho   ,Engorde 4           
2/15/2026        ,STO5023-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,-7605.00     ,0.00       ,0.00000000               ,Credito    ,Engorde 4           
2/15/2026        ,STO5023-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,-4500.00     ,0.00       ,0.00000000               ,Credito    ,Engorde 4           
2/15/2026        ,BUC3025-2601 ,PCA             ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,18910.00     ,13028.99   ,0.68900000               ,Despacho   ,Engorde 1           
2/15/2026        ,STO5028-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,14580.00     ,10045.62   ,0.68900000               ,Despacho   ,Engorde 4           
2/15/2026        ,STO5028-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,14960.00     ,10307.44   ,0.68900000               ,Despacho   ,Engorde 4           
2/15/2026        ,STO5028-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,7605.00      ,0.00       ,0.00000000               ,Debito     ,Engorde 4           
2/15/2026        ,STO5057-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,14520.00     ,8653.92    ,0.59600000               ,Despacho   ,Engorde 1           
2/15/2026        ,BUC1008-2601 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,15530.00     ,7434.24    ,0.47870209               ,Despacho   ,Engorde 4           
2/16/2026        ,STO5063-2601 ,PCA             ,T110N1B0 ,Engorde 0      Gra Re CQ         ,12180.00     ,7259.28    ,0.59600000               ,Despacho   ,Engorde 0           
2/16/2026        ,STO5027-2601 ,PCA             ,T112R1N0 ,Engorde 2 peletizado             ,14970.00     ,8922.12    ,0.59600000               ,Despacho   ,Engorde 2           
2/16/2026        ,STO5027-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,15200.00     ,9059.20    ,0.59600000               ,Despacho   ,Engorde 4           
2/16/2026        ,BUC1006-2601 ,Granja Propia   ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,17410.00     ,9048.40    ,0.51972458               ,Despacho   ,Engorde 1           
2/16/2026        ,BUC1006-2601A,Granja Propia   ,T111R1IW0,ENGORDE 1 PEL REL ESP CDGRANEL   ,15200.00     ,8431.44    ,0.55470022               ,Despacho   ,Engorde 1           
2/16/2026        ,BUC1006-2601 ,Granja Propia   ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,17810.00     ,9256.29    ,0.51972458               ,Despacho   ,Engorde 1           
2/16/2026        ,BUC3011-2601 ,PCA             ,T113R1I0 ,Engorde 3          Pel Re CD     ,15600.00     ,9297.60    ,0.59600000               ,Despacho   ,Engorde 3           
2/16/2026        ,BUC3011-2601 ,PCA             ,T113R1I0 ,Engorde 3          Pel Re CD     ,18810.00     ,11210.76   ,0.59600000               ,Despacho   ,Engorde 3           
2/16/2026        ,BUC3011-2601 ,PCA             ,T113R1I0 ,Engorde 3          Pel Re CD     ,15510.00     ,9243.96    ,0.59600000               ,Despacho   ,Engorde 3           
2/16/2026        ,STO5044-2601 ,PCA             ,T112R1N0 ,Engorde 2 peletizado             ,14950.00     ,8910.20    ,0.59600000               ,Despacho   ,Engorde 2           
2/16/2026        ,STO5044-2601 ,PCA             ,T112R1N0 ,Engorde 2 peletizado             ,18080.00     ,10775.68   ,0.59600000               ,Despacho   ,Engorde 2           
2/16/2026        ,STO5003-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,16420.00     ,11313.38   ,0.68900000               ,Despacho   ,Engorde 4           
2/16/2026        ,BUC1007-2601 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,22620.00     ,10848.55   ,0.47959999               ,Despacho   ,Engorde 4           
2/16/2026        ,BUC1002-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,23460.00     ,11917.68   ,0.50800014               ,Despacho   ,Engorde 2           
2/16/2026        ,BUC1002-2601A,Granja Propia   ,T113R1IW0,ENGORDE 3 PEL RE ESP BD GRANEL   ,19680.00     ,10554.82   ,0.53632214               ,Despacho   ,Engorde 3           
2/16/2026        ,BUC3020-2601 ,PCA             ,T113R1I0 ,Engorde 3          Pel Re CD     ,22640.00     ,13493.44   ,0.59600000               ,Despacho   ,Engorde 3           
2/16/2026        ,BUC1007-2601A,Granja Propia   ,T114OAA0 ,Engorde 4 Peletizado Ensayo      ,24850.00     ,12897.16   ,0.51900021               ,Despacho   ,Engorde 4           
2/16/2026        ,STO2003-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,21480.00     ,10918.96   ,0.50833127               ,Despacho   ,Engorde 2           
2/16/2026        ,STO2003-2601 ,Granja Propia   ,T114R1I0K,ENGOR 4 PEL PLUS CD GRANEL       ,22460.00     ,11928.23   ,0.53108779               ,Despacho   ,Engorde 4           
